,Brand,Generic,Uses
79,advair hfa,Fluticasone Propion/Salmeterol,"This product is used to control and prevent symptoms (wheezing and shortness of breath) caused by asthma. It contains 2 medications: fluticasone and salmeterol. Fluticasone belongs to a class of drugs known as corticosteroids. It works by reducing the irritation and swelling of the airways. Salmeterol belongs to the class of drugs known as long-acting beta agonists. It works by relaxing the muscles around the airways so that they open up and you can breathe more easily. Controlling symptoms of breathing problems can decrease time lost from work or school. When used alone, long-acting beta agonists (such as salmeterol) may rarely increase the risk of serious (sometimes fatal) asthma-related breathing problems. However, combination inhaled corticosteroid and long-acting beta agonists, such as this product, do not increase the risk of serious asthma-related breathing problems. This product should be used when breathing problems are not well controlled with one asthma-control medication (such as inhaled corticosteroid) or if your asthma symptoms need combination treatment. Before using this medication, it is important to learn how to use it properly. This medication must be used regularly to be effective. It does not work right away and should not be used to relieve sudden asthma attacks. If an asthma attack occurs, use your quick-relief inhaler (such as albuterol, also called salbutamol in some countries) as prescribed."
80,advate,"Antihemophil.FVIII,Full Length","This medication is used to control and prevent bleeding episodes in people with low levels of factor VIII (hemophilia A). It is also used in these patients before surgery to prevent bleeding. People with low factor VIII levels are at risk for bleeding longer after an injury/surgery and for bleeding inside the body (especially into the joints and muscles). This product contains a man-made form of factor VIII, also called antihemophilic factor. This product is used to temporarily replace the missing factor VIII, a protein (clotting factor) that is normally in the blood, so that the blood can clot and the bleeding can stop. This medication should not be used to treat von Willebrand disease."
81,adynovate,"Antihemo.FVIII,Full Length PEG","This medication is used to control and prevent bleeding episodes in people with low levels of factor VIII (hemophilia A). It is also used in these patients before surgery to prevent bleeding. People with low factor VIII levels are at risk for bleeding longer after an injury/surgery and for bleeding inside the body (especially into the joints and muscles). This product contains a man-made form of factor VIII, also called antihemophilic factor. This product is used to temporarily replace the missing factor VIII, a protein (clotting factor) that is normally in the blood, so that the blood can clot and the bleeding can stop. This medication should not be used to treat von Willebrand disease."
82,adzenys er,Amphetamine,"This medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Amphetamine belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills."
83,adzenys xr-odt,Amphetamine,"This medication is used to treat attention deficit hyperactivity disorder - ADHD. It works by changing the amounts of certain natural substances in the brain. Amphetamine belongs to a class of drugs known as stimulants. It can help increase your ability to pay attention, stay focused on an activity, and control behavior problems. It may also help you to organize your tasks and improve listening skills."
84,aerochamber plus flow-vu,"Inhaler, Assist Devices",Drug uses not available
85,afeditab cr,Nifedipine,"This medication is used alone or in combination with other drugs to treat high blood pressure (hypertension). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Nifedipine belongs to a class of medications known as calcium channel blockers. It works by relaxing blood vessels so blood can flow more easily."
86,afinitor,Everolimus,"Everolimus is used to treat various types of cancer (such as kidney, breast, pancreas, lung, stomach/intestinal cancers). Everolimus is also used in people with a certain genetic disorder (tuberous sclerosis complex) to treat certain types of benign tumors in the brain or kidney. It works by slowing or stopping the growth of cancer or tumor cells."
87,afinitor disperz,Everolimus,Everolimus is used to treat a certain type of benign (non-cancerous) brain tumor in people with a certain genetic disorder (tuberous sclerosis complex). It works by slowing or stopping the growth of tumor cells. Everolimus is also used with other medications to treat certain types of seizures in people with tuberous sclerosis complex. Everolimus may reduce the number of seizures you have.
88,afirmelle,Levonorgestrel/Ethin.Estradiol,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin and an estrogen. It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
